Join_Count,TARGET_FID,JOIN_FID,ID,STATION_NA,MODE_,STATUS,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
1,4,159,,MD 97 and Seminary Road,Bus Rapid Transit,Planned,24,031,702800,24031702800,1400000US24031702800,7028,Census Tract 7028,G5020,S,1673498.000000000000000,0.000000000000000,+39.0059732,-077.0431441
1,5,562,,MD 97 and Dexter Avenue,Bus Rapid Transit,Planned,24,031,704000,24031704000,1400000US24031704000,7040,Census Tract 7040,G5020,S,2264881.000000000000000,181.000000000000000,+39.0216780,-077.0544179
1,6,558,,MD 586 and Newport Mill Road,Bus Rapid Transit,Planned,24,031,703701,24031703701,1400000US24031703701,7037.01,Census Tract 7037.01,G5020,S,1190992.000000000000000,0.000000000000000,+39.0532841,-077.0624733
1,7,192,,MD 586 and Parkland Drive,Bus Rapid Transit,Planned,24,031,703301,24031703301,1400000US24031703301,7033.01,Census Tract 7033.01,G5020,S,1502778.000000000000000,0.000000000000000,+39.0700877,-077.0936023
1,8,192,,MD 586 and Aspen Hill Road,Bus Rapid Transit,Planned,24,031,703301,24031703301,1400000US24031703301,7033.01,Census Tract 7033.01,G5020,S,1502778.000000000000000,0.000000000000000,+39.0700877,-077.0936023
1,9,556,,MD 586 and Twinbrook Parkway,Bus Rapid Transit,Planned,24,031,701101,24031701101,1400000US24031701101,7011.01,Census Tract 7011.01,G5020,S,2329200.000000000000000,769.000000000000000,+39.0802307,-077.1196526
1,10,111,,MD 586 and Broadwood Drive,Bus Rapid Transit,Planned,24,031,701102,24031701102,1400000US24031701102,7011.02,Census Tract 7011.02,G5020,S,2068442.000000000000000,0.000000000000000,+39.0723414,-077.1243447
1,11,87,,MD 586 and Norbeck Road,Bus Rapid Transit,Planned,24,031,700902,24031700902,1400000US24031700902,7009.02,Census Tract 7009.02,G5020,S,1718904.000000000000000,0.000000000000000,+39.0896147,-077.1442283
1,12,1441,,MD 97 and Hines Road,Bus Rapid Transit,Planned,24,031,701312,24031701312,1400000US24031701312,7013.12,Census Tract 7013.12,G5020,S,4054064.000000000000000,0.000000000000000,+39.1527986,-077.0801289
1,13,85,,ICC Park-and-Ride,Bus Rapid Transit,Planned,24,031,701308,24031701308,1400000US24031701308,7013.08,Census Tract 7013.08,G5020,S,13729244.000000000000000,44583.000000000000000,+39.1321116,-077.0607673
