Join_Count,TARGET_FID,JOIN_FID,DESCRIPTIO,RT_D,ROUTE,DIRECTION,TYPE,ORIGIN,DESTINATIO,EGIS_ID,STATE,STR_DATE,END_DATE,SNOW_ROUTE,GEOMETRYSO,SE_ANNO_CA,OBJECTID,GLOBALID,SHAPE_ID,SHAPELEN,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_type_text,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length
1,1,837,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,R,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,1425611,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36031,{7794C458-AF5F-4958-B542-99A1E392142E},M6X:01,0,,,,,,,,,,,24,031,701509,24031701509,1400000US24031701509,7015.09,Census Tract 7015.09,G5020,S,4085037.000000000000000,0.000000000000000,+39.0331015,-076.9767518,13483.644016125783310
1,1,940,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,R,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,1425611,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36031,{7794C458-AF5F-4958-B542-99A1E392142E},M6X:01,0,,,,,,,,,,,24,031,701601,24031701601,1400000US24031701601,7016.01,Census Tract 7016.01,G5020,S,301675.000000000000000,0.000000000000000,+39.0147267,-076.9763685,13483.644016125783310
1,1,1050,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,R,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,1425611,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36031,{7794C458-AF5F-4958-B542-99A1E392142E},M6X:01,0,,,,,,,,,,,24,031,701602,24031701602,1400000US24031701602,7016.02,Census Tract 7016.02,G5020,S,1681986.000000000000000,131.000000000000000,+39.0107123,-076.9847238,13483.644016125783310
1,1,1457,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,R,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,1425611,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36031,{7794C458-AF5F-4958-B542-99A1E392142E},M6X:01,0,,,,,,,,,,,24,031,701505,24031701505,1400000US24031701505,7015.05,Census Tract 7015.05,G5020,S,3340981.000000000000000,1699.000000000000000,+39.0300467,-076.9933235,13483.644016125783310
1,1,1469,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,R,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,1425611,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36031,{7794C458-AF5F-4958-B542-99A1E392142E},M6X:01,0,,,,,,,,,,,24,031,701703,24031701703,1400000US24031701703,7017.03,Census Tract 7017.03,G5020,S,1102887.000000000000000,0.000000000000000,+38.9844888,-076.9911737,13483.644016125783310
1,1,1470,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,R,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,1425611,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36031,{7794C458-AF5F-4958-B542-99A1E392142E},M6X:01,0,,,,,,,,,,,24,031,701704,24031701704,1400000US24031701704,7017.04,Census Tract 7017.04,G5020,S,1287357.000000000000000,7973.000000000000000,+38.9758298,-076.9981538,13483.644016125783310
1,2,837,[M6X]FT TOTTEN - FDA pm peak,M6X_N,M6X,N,P,Fort Totten+Bay A,Mahan Rd+New Hampshire Av,1425612,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36032,{07A5242A-1DA1-44FF-BE6F-68D54F9B3170},M6X:04,0,,,,,,,,,,,24,031,701509,24031701509,1400000US24031701509,7015.09,Census Tract 7015.09,G5020,S,4085037.000000000000000,0.000000000000000,+39.0331015,-076.9767518,14430.339990610451423
1,2,940,[M6X]FT TOTTEN - FDA pm peak,M6X_N,M6X,N,P,Fort Totten+Bay A,Mahan Rd+New Hampshire Av,1425612,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36032,{07A5242A-1DA1-44FF-BE6F-68D54F9B3170},M6X:04,0,,,,,,,,,,,24,031,701601,24031701601,1400000US24031701601,7016.01,Census Tract 7016.01,G5020,S,301675.000000000000000,0.000000000000000,+39.0147267,-076.9763685,14430.339990610451423
1,2,1469,[M6X]FT TOTTEN - FDA pm peak,M6X_N,M6X,N,P,Fort Totten+Bay A,Mahan Rd+New Hampshire Av,1425612,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36032,{07A5242A-1DA1-44FF-BE6F-68D54F9B3170},M6X:04,0,,,,,,,,,,,24,031,701703,24031701703,1400000US24031701703,7017.03,Census Tract 7017.03,G5020,S,1102887.000000000000000,0.000000000000000,+38.9844888,-076.9911737,14430.339990610451423
1,2,1470,[M6X]FT TOTTEN - FDA pm peak,M6X_N,M6X,N,P,Fort Totten+Bay A,Mahan Rd+New Hampshire Av,1425612,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36032,{07A5242A-1DA1-44FF-BE6F-68D54F9B3170},M6X:04,0,,,,,,,,,,,24,031,701704,24031701704,1400000US24031701704,7017.04,Census Tract 7017.04,G5020,S,1287357.000000000000000,7973.000000000000000,+38.9758298,-076.9981538,14430.339990610451423
1,3,837,[M6X]FT TOTTEN - FDA,M6X_N,M6X,N,R,Fort Totten+Bay A,Mahan Rd+New Hampshire Av,1425613,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36033,{9D490051-60D9-4D61-8DE3-52AC1E302995},M6X:05,0,,,,,,,,,,,24,031,701509,24031701509,1400000US24031701509,7015.09,Census Tract 7015.09,G5020,S,4085037.000000000000000,0.000000000000000,+39.0331015,-076.9767518,14849.111458718678477
1,3,940,[M6X]FT TOTTEN - FDA,M6X_N,M6X,N,R,Fort Totten+Bay A,Mahan Rd+New Hampshire Av,1425613,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36033,{9D490051-60D9-4D61-8DE3-52AC1E302995},M6X:05,0,,,,,,,,,,,24,031,701601,24031701601,1400000US24031701601,7016.01,Census Tract 7016.01,G5020,S,301675.000000000000000,0.000000000000000,+39.0147267,-076.9763685,14849.111458718678477
1,3,1469,[M6X]FT TOTTEN - FDA,M6X_N,M6X,N,R,Fort Totten+Bay A,Mahan Rd+New Hampshire Av,1425613,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36033,{9D490051-60D9-4D61-8DE3-52AC1E302995},M6X:05,0,,,,,,,,,,,24,031,701703,24031701703,1400000US24031701703,7017.03,Census Tract 7017.03,G5020,S,1102887.000000000000000,0.000000000000000,+38.9844888,-076.9911737,14849.111458718678477
1,3,1470,[M6X]FT TOTTEN - FDA,M6X_N,M6X,N,R,Fort Totten+Bay A,Mahan Rd+New Hampshire Av,1425613,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36033,{9D490051-60D9-4D61-8DE3-52AC1E302995},M6X:05,0,,,,,,,,,,,24,031,701704,24031701704,1400000US24031701704,7017.04,Census Tract 7017.04,G5020,S,1287357.000000000000000,7973.000000000000000,+38.9758298,-076.9981538,14849.111458718678477
1,4,837,[M6X]FDA - FT TOTTEN,M6X_S,M6X,S,P,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,1425614,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36034,{8B06E007-9AD7-4AE0-8FD3-D35C2E342A88},M6X:51,0,,,,,,,,,,,24,031,701509,24031701509,1400000US24031701509,7015.09,Census Tract 7015.09,G5020,S,4085037.000000000000000,0.000000000000000,+39.0331015,-076.9767518,13916.315001537195712
1,4,940,[M6X]FDA - FT TOTTEN,M6X_S,M6X,S,P,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,1425614,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36034,{8B06E007-9AD7-4AE0-8FD3-D35C2E342A88},M6X:51,0,,,,,,,,,,,24,031,701601,24031701601,1400000US24031701601,7016.01,Census Tract 7016.01,G5020,S,301675.000000000000000,0.000000000000000,+39.0147267,-076.9763685,13916.315001537195712
1,4,1050,[M6X]FDA - FT TOTTEN,M6X_S,M6X,S,P,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,1425614,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36034,{8B06E007-9AD7-4AE0-8FD3-D35C2E342A88},M6X:51,0,,,,,,,,,,,24,031,701602,24031701602,1400000US24031701602,7016.02,Census Tract 7016.02,G5020,S,1681986.000000000000000,131.000000000000000,+39.0107123,-076.9847238,13916.315001537195712
1,4,1457,[M6X]FDA - FT TOTTEN,M6X_S,M6X,S,P,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,1425614,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36034,{8B06E007-9AD7-4AE0-8FD3-D35C2E342A88},M6X:51,0,,,,,,,,,,,24,031,701505,24031701505,1400000US24031701505,7015.05,Census Tract 7015.05,G5020,S,3340981.000000000000000,1699.000000000000000,+39.0300467,-076.9933235,13916.315001537195712
1,4,1469,[M6X]FDA - FT TOTTEN,M6X_S,M6X,S,P,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,1425614,MD,12/14/2025 0:00:00,9/9/9999 0:00:00, ,GTFS SHAPE TXT, ,36034,{8B06E007-9AD7-4AE0-8FD3-D35C2E342A88},M6X:51,0,,,,,,,,,,,24,031,701703,24031701703,1400000US24031701703,7017.03,Census Tract 7017.03,G5020,S,1102887.000000000000000,0.000000000000000,+38.9844888,-076.9911737,13916.315001537195712
