route_name,tracts,totalEstPopulation,squareMilesOfTracts,wkdayRiders,satRiders,sunRiders,weeklyTotalRiders,wkdayDepartures,satDepartures,sunDepartures,estHouseholdsTracts,estLessVehiclesTracts,estVehiclesTracts,agency
1,10,98313,13.080087124642198,710,546,349,1605,74,57,57,44813,10760,7019,MC RideOn
100,17,169166,35.209395075201996,908,381,234,1523,138,68,54,67404,9835,6880,MC RideOn
101,20,185300,41.3754006902523,1166,0,0,1166,90,0,0,78111,12469,10051,MC RideOn
11,10,98313,13.080087124642198,260,0,0,260,24,0,0,44813,10760,7019,MC RideOn
12,13,111709,11.960130358823003,769,645,447,1861,76,64,64,50032,13586,9133,MC RideOn
13,11,94399,10.044088172049001,222,0,0,222,20,0,0,42607,11386,7956,MC RideOn
14,14,122428,13.041737344923002,387,230,0,617,54,43,0,51686,13456,8990,MC RideOn
15,12,106183,11.523938689003003,1535,1141,665,3341,142,106,86,44525,11651,6802,MC RideOn
16,14,99501,8.610375815585002,2174,2123,1515,5812,104,97,84,41936,11682,7635,MC RideOn
17,10,73857,5.734905715499999,508,435,233,1176,68,53,48,33415,9811,7172,MC RideOn
18,14,111846,8.773546741009199,381,185,124,690,54,43,36,52243,15350,10393,MC RideOn
19,13,142816,20.062529766303,51,0,0,51,9,0,0,55864,11103,6258,MC RideOn
2,4,46987,6.0349896118932,429,173,147,749,68,52,52,20506,4991,2705,MC RideOn
20,15,148770,18.501731705397,1487,1244,865,3596,95,76,76,58165,15906,10582,MC RideOn
21,18,292817,64.895681558007,165,0,0,165,11,0,0,105729,17385,10986,MC RideOn
22,13,201284,41.20203743502701,226,0,0,226,28,0,0,76095,13840,8775,MC RideOn
23,7,67190,21.7892765840737,430,235,0,665,58,48,0,26149,3003,1858,MC RideOn
24,13,132667,18.40441105166299,105,0,0,105,14,0,0,46850,11307,7088,MC RideOn
25,6,45301,4.121150017132,136,0,0,136,26,0,0,16963,4069,2670,MC RideOn
26,24,286428,51.65820211037902,2314,1707,1136,5157,94,70,70,104228,14942,9952,MC RideOn
27,5,104786,28.632316502669994,227,126,84,437,70,36,36,36404,6718,5282,MC RideOn
28,7,61520,4.4652653037062,118,99,0,217,34,34,0,32984,10698,7568,MC RideOn
29,12,109296,33.489565377697,440,244,152,836,51,46,42,41507,5161,2656,MC RideOn
30,10,61274,11.015834922739298,299,0,0,299,48,0,0,24868,4842,2899,MC RideOn
301,13,148781,81.15042419482901,91,55,22,168,18,18,18,54669,4652,2713,MC RideOn
31,9,144346,29.179803932700008,82,0,0,82,18,0,0,46859,7343,4439,MC RideOn
32,9,102043,67.279858646341,163,0,0,163,24,0,0,37526,3764,1717,MC RideOn
33,10,94855,20.498074931924997,234,0,0,234,33,0,0,31318,4102,2592,MC RideOn
34,13,110377,22.615137603134002,718,439,314,1471,76,58,58,43528,7243,5195,MC RideOn
