Geography,TRACTCE,name,SquareMile
1400000US24031700101,700101,Montgomery Village,11.5235669349
1400000US24031700101,700101,Laytonsville,11.5235669349
1400000US24031700101,700101,Damascus,11.5235669349
1400000US24031700101,700101,Germantown,11.5235669349
1400000US24031700101,700101,Goshen,11.5235669349
1400000US24031700101,700101,Mt Airy,11.5235669349
1400000US24031700101,700101,Cedar Grove,11.5235669349
1400000US24031700103,700103,Brighton,27.2487002485
1400000US24031700103,700103,Mt Airy,27.2487002485
1400000US24031700103,700103,Woodbine,27.2487002485
1400000US24031700103,700103,Brookeville,27.2487002485
1400000US24031700103,700103,Laytonsville,27.2487002485
1400000US24031700103,700103,Upper Rock Creek,27.2487002485
1400000US24031700103,700103,Gaithersburg,27.2487002485
1400000US24031700103,700103,Damascus,27.2487002485
1400000US24031700103,700103,Goshen,27.2487002485
1400000US24031700103,700103,Redland,27.2487002485
1400000US24031700104,700104,Goshen,0.936691377617
1400000US24031700104,700104,Montgomery Village,0.936691377617
1400000US24031700105,700105,Montgomery Village,2.35036834329
1400000US24031700105,700105,Goshen,2.35036834329
1400000US24031700105,700105,Gaithersburg,2.35036834329
1400000US24031700204,700204,Mt Airy,14.5187073292
1400000US24031700204,700204,Damascus,14.5187073292
1400000US24031700204,700204,Mt Airy,14.5187073292
1400000US24031700204,700204,Clarksburg,14.5187073292
1400000US24031700206,700206,Damascus,4.94055832922
1400000US24031700206,700206,Goshen,4.94055832922
1400000US24031700207,700207,Goshen,2.19857067811
1400000US24031700207,700207,Damascus,2.19857067811
1400000US24031700208,700208,Mt Airy,5.3074266258
1400000US24031700208,700208,Goshen,5.3074266258
1400000US24031700208,700208,Damascus,5.3074266258
1400000US24031700209,700209,Damascus,7.28963875064
1400000US24031700209,700209,Goshen,7.28963875064
1400000US24031700209,700209,Germantown,7.28963875064
1400000US24031700209,700209,Clarksburg,7.28963875064
1400000US24031700209,700209,Cedar Grove,7.28963875064
1400000US24031700210,700210,Cedar Grove,1.78202633489
1400000US24031700210,700210,Clarksburg,1.78202633489
1400000US24031700210,700210,Germantown,1.78202633489
1400000US24031700306,700306,Boyds,1.18623759202
1400000US24031700306,700306,Germantown,1.18623759202
1400000US24031700308,700308,Clarksburg,0.952283699859
1400000US24031700308,700308,Germantown,0.952283699859
1400000US24031700309,700309,Germantown,0.89981475915
1400000US24031700310,700310,Boyds,0.845995933255
1400000US24031700310,700310,Germantown,0.845995933255
1400000US24031700313,700313,Germantown,1.08036700547
1400000US24031700313,700313,Clarksburg,1.08036700547
1400000US24031700314,700314,Germantown,1.06915492366
1400000US24031700314,700314,Clarksburg,1.06915492366
1400000US24031700315,700315,Clarksburg,2.5977106553
1400000US24031700315,700315,Damascus,2.5977106553
1400000US24031700315,700315,Cedar Grove,2.5977106553
1400000US24031700316,700316,Germantown,1.7566507904
1400000US24031700316,700316,Clarksburg,1.7566507904
1400000US24031700317,700317,Clarksburg,18.8723508229
1400000US24031700317,700317,Dickerson,18.8723508229
1400000US24031700317,700317,Germantown,18.8723508229
1400000US24031700317,700317,Boyds,18.8723508229
1400000US24031700318,700318,Damascus,4.47547865124
1400000US24031700318,700318,Clarksburg,4.47547865124
1400000US24031700400,700400,Dickerson,36.0120312958
1400000US24031700400,700400,Poolesville,36.0120312958
1400000US24031700400,700400,Beallsville,36.0120312958
1400000US24031700400,700400,Boyds,36.0120312958
1400000US24031700400,700400,Clarksburg,36.0120312958
1400000US24031700400,700400,Barnesville,36.0120312958
1400000US24031700500,700500,Germantown,70.0910942728
1400000US24031700500,700500,Beallsville,70.0910942728
1400000US24031700500,700500,Poolesville,70.0910942728
1400000US24031700500,700500,Darnestown,70.0910942728
1400000US24031700500,700500,Dickerson,70.0910942728
1400000US24031700500,700500,Boyds,70.0910942728
1400000US24031700604,700604,Travilah,17.3407204212
1400000US24031700604,700604,Germantown,17.3407204212
1400000US24031700604,700604,Gaithersburg,17.3407204212
1400000US24031700604,700604,North Potomac,17.3407204212
1400000US24031700604,700604,Poolesville,17.3407204212
1400000US24031700604,700604,Darnestown,17.3407204212
1400000US24031700606,700606,Gaithersburg,1.81165334128
1400000US24031700606,700606,North Potomac,1.81165334128
1400000US24031700606,700606,Travilah,1.81165334128
1400000US24031700608,700608,North Potomac,11.8974699537
1400000US24031700608,700608,Darnestown,11.8974699537
1400000US24031700608,700608,Potomac,11.8974699537
1400000US24031700608,700608,Travilah,11.8974699537
1400000US24031700610,700610,Darnestown,2.06694808081
1400000US24031700610,700610,Gaithersburg,2.06694808081
1400000US24031700610,700610,Germantown,2.06694808081
1400000US24031700611,700611,Poolesville,6.16955248615
1400000US24031700611,700611,Darnestown,6.16955248615
1400000US24031700611,700611,Germantown,6.16955248615
1400000US24031700611,700611,Boyds,6.16955248615
1400000US24031700613,700613,Gaithersburg,4.89883881842
1400000US24031700613,700613,Darnestown,4.89883881842
1400000US24031700613,700613,Germantown,4.89883881842
1400000US24031700613,700613,Boyds,4.89883881842
1400000US24031700614,700614,Gaithersburg,0.899821677943
1400000US24031700614,700614,Germantown,0.899821677943
1400000US24031700615,700615,North Potomac,1.06014271796
1400000US24031700615,700615,Darnestown,1.06014271796
1400000US24031700616,700616,Gaithersburg,1.12548814367
1400000US24031700616,700616,North Potomac,1.12548814367
1400000US24031700616,700616,Darnestown,1.12548814367
1400000US24031700617,700617,Rockville,0.435650649537
