TRACTCE,GEOID,Geography,NAME,route_name,DESCRIPTIO,RT_D,ROUTE,DIRECTION,ORIGIN,DESTINATIO,STATE,GEOMETRYSO,OBJECTID,SHAPE_ID,SHAPELEN,route_id,route_short_name,route_long_name,route_desc,route_color,route_text_color,route_type_text,wkday_departures,sat_departures,sun_departures,agency,wkday_riders,sat_riders,sun_riders,SquareMile
701509,24031701509,1400000US24031701509,7015.09,M6X,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,MD,GTFS SHAPE TXT,36031,M6X:01,0,NA,NA,NA,NA,NA,NA,NA,53,0,0,WMATA,683,0,0,1.5772360808
701601,24031701601,1400000US24031701601,7016.01,M6X,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,MD,GTFS SHAPE TXT,36031,M6X:01,0,NA,NA,NA,NA,NA,NA,NA,53,0,0,WMATA,683,0,0,0.116477171577
701602,24031701602,1400000US24031701602,7016.02,M6X,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,MD,GTFS SHAPE TXT,36031,M6X:01,0,NA,NA,NA,NA,NA,NA,NA,53,0,0,WMATA,683,0,0,0.649467417632
701505,24031701505,1400000US24031701505,7015.05,M6X,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,MD,GTFS SHAPE TXT,36031,M6X:01,0,NA,NA,NA,NA,NA,NA,NA,53,0,0,WMATA,683,0,0,1.29061230164
701703,24031701703,1400000US24031701703,7017.03,M6X,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,MD,GTFS SHAPE TXT,36031,M6X:01,0,NA,NA,NA,NA,NA,NA,NA,53,0,0,WMATA,683,0,0,0.425825049934
701704,24031701704,1400000US24031701704,7017.04,M6X,[M6X]FDA - FT TOTTEN am peak,M6X_S,M6X,S,Mahan Rd+New Hampshire Av,Fort Totten+Bay A,MD,GTFS SHAPE TXT,36031,M6X:01,0,NA,NA,NA,NA,NA,NA,NA,53,0,0,WMATA,683,0,0,0.500129265615
702602,24031702602,1400000US24031702602,7026.02,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.187131420171
702700,24031702700,1400000US24031702700,7027,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,1.35245703605
702501,24031702501,1400000US24031702501,7025.01,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.128659467514
702603,24031702603,1400000US24031702603,7026.03,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.04312115622
702604,24031702604,1400000US24031702604,7026.04,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.0903555562471
706012,24031706012,1400000US24031706012,7060.12,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.819466758945
704806,24031704806,1400000US24031704806,7048.06,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.157364495465
704805,24031704805,1400000US24031704805,7048.05,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.119379142503
704804,24031704804,1400000US24031704804,7048.04,M70,[M70]MONTGOMERY MALL - SILVER SPG,M70_E,M70,E,Montgomery Mall+Bay F,Silver Spring+Bay 102,MD,GTFS SHAPE TXT,36035,M70:03,0,NA,NA,NA,NA,NA,NA,NA,198,174,173,WMATA,4523,2872,1995,0.133016787027
