Join_Count,TARGET_FID,JOIN_FID,STATEFP,COUNTYFP,TRACTCE,GEOID,Geography,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,shape_id,route_id,agency_id,route_short_name,route_long,route_desc,route_type,route_url,route_colo,route_text,route_ty_1,Shape_Length,Shape_Area,wkday_departures,sat_departures,sun_departures
1,73,49,24,031,705601,24031705601,1400000US24031705601,7056.01,Census Tract 7056.01,G5020,S,1179882,5940,38.9566642,-77.1006777,0.108895754053249,37072,8849,MCRO,23,23-Friendship Hghts-Sibley Hospital,Rte 23 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.049196577935755,1.23232426527e-4,58,48,NA
1,73,60,24,031,705601,24031705601,1400000US24031705601,7056.01,Census Tract 7056.01,G5020,S,1179882,5940,38.9566642,-77.1006777,0.141686576228623,37083,8855,MCRO,29,29-Bethesda-GlenEcho-FriendshpHghts,Rte 29 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.049196577935755,1.23232426527e-4,51,46,42
1,74,1,24,031,705501,24031705501,1400000US24031705501,7055.01,Census Tract 7055.01,G5020,S,496065,0,38.9607393,-77.0902928,0.102976722414213,37001,8819,MCRO,1,1-Silver Spring-Friendship Heights,Rte 1 operates Monday-Sunday,3,NA,808000,FFFFFF,Bus,0.036883613908821,5.155456219e-5,74,57,57
1,74,15,24,031,705501,24031705501,1400000US24031705501,7055.01,Census Tract 7055.01,G5020,S,496065,0,38.9607393,-77.0902928,0.083978846264096,37017,8823,MCRO,11,11-Silver Spring-Friendship Heights,Rte11operate AM-SS-FH-PM-FH-SS,3,NA,DF0070,FFFFFF,Bus,0.036883613908821,5.155456219e-5,24,NA,NA
1,74,49,24,031,705501,24031705501,1400000US24031705501,7055.01,Census Tract 7055.01,G5020,S,496065,0,38.9607393,-77.0902928,0.108895754053249,37072,8849,MCRO,23,23-Friendship Hghts-Sibley Hospital,Rte 23 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.036883613908821,5.155456219e-5,58,48,NA
1,74,60,24,031,705501,24031705501,1400000US24031705501,7055.01,Census Tract 7055.01,G5020,S,496065,0,38.9607393,-77.0902928,0.141686576228623,37083,8855,MCRO,29,29-Bethesda-GlenEcho-FriendshpHghts,Rte 29 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.036883613908821,5.155456219e-5,51,46,42
1,75,49,24,031,705701,24031705701,1400000US24031705701,7057.01,Census Tract 7057.01,G5020,S,1918394,0,38.9658091,-77.115724,0.108895754053249,37072,8849,MCRO,23,23-Friendship Hghts-Sibley Hospital,Rte 23 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.068913255041235,1.99387319856e-4,58,48,NA
1,75,60,24,031,705701,24031705701,1400000US24031705701,7057.01,Census Tract 7057.01,G5020,S,1918394,0,38.9658091,-77.115724,0.141686576228623,37083,8855,MCRO,29,29-Bethesda-GlenEcho-FriendshpHghts,Rte 29 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.068913255041235,1.99387319856e-4,51,46,42
1,76,49,24,031,705702,24031705702,1400000US24031705702,7057.02,Census Tract 7057.02,G5020,S,2477694,125630,38.9542113,-77.1108685,0.108895754053249,37072,8849,MCRO,23,23-Friendship Hghts-Sibley Hospital,Rte 23 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.069048544991063,2.70522742212e-4,58,48,NA
1,76,60,24,031,705702,24031705702,1400000US24031705702,7057.02,Census Tract 7057.02,G5020,S,2477694,125630,38.9542113,-77.1108685,0.141686576228623,37083,8855,MCRO,29,29-Bethesda-GlenEcho-FriendshpHghts,Rte 29 operates Monday-Friday,3,NA,0000FF,FFFFFF,Bus,0.069048544991063,2.70522742212e-4,51,46,42
