Geography,SquareMile,totalBuildings,totalDwellings,halfm_stop_totalBuildings,halfm_stop_totalDwellings,quarterm_stop_totalBuildings,quarterm_stop_totalDwellings,halfm_ROUTE_totalBuildings,halfm_ROUTE_totalDwellings,quarterm_ROUTE_totalBuildings,quarterm_ROUTE_totalDwellings,nobus_stop_totalBuildings,nobus_stop_totalDwellings,nobus_ROUTE_totalBuildings,nobus_ROUTE_totalDwellings,halfm_route_BRT_totalBuildings,halfm_route_BRT_totalDwellings,quarterm_route_BRT_totalBuildings,quarterm_route_BRT_totalDwellings,Building_halfm_ROUTE_no_stop,Dwell_halfm_ROUTE_no_stop,Building_quarterm_ROUTE_no_stop,Dwell_quarterm_ROUTE_no_stop,Building_quarterm_ROUTE_no_stop_at_ALL,Dwell_quarterm_ROUTE_no_stop_at_ALL,propBuilding_quarterm_stop,propDwell_quarterm_stop,propBuilding_halfm_stop,propDwell_halfm_stop,propBuilding_quarterm_ROUTE,propDwell_quarterm_ROUTE,propBuilding_halfm_ROUTE,propDwell_halfm_ROUTE,propBuilding_nobus_stop,propDwell_nobus_stop,propBuilding_nobus_ROUTE,propDwell_nobus_ROUTE,propBuilding_halfm_ROUTE_no_stop,propDwell_halfm_ROUTE_no_stop,propBuilding_quarterm_ROUTE_no_stop,propDwell_quarterm_ROUTE_no_stop,propBuilding_quarterm_ROUTE_no_stop_at_ALL,propDwell_quarterm_ROUTE_no_stop_at_ALL,propBuilding_halfm_BRT_ROUTE,propDwell_halfm_BRT_ROUTE,propBuilding_quarterm_BRT_ROUTE,propDwell_quarterm_BRT_ROUTE,totalRoutes,totalMeanWkdayRouteRiders,totalMeanSatRouteRiders,totalMeanSunRouteRiders,meanMeanWkdayRouteRiders,meanMeanSatRoudeRiders,meanMeanSunRouteRiders,totalWkdayDepartures,totalSatDepartures,totalSunDepartures,meanWkdayDepartures,medianWkdayDepartures,is_sunday,is_sat_not_sun,routes_wmata,routes_rideon,most_agency,estPopulation,estHouseholds,estPopChildren14Under,estPopElderly65Over,estHouseholds_0Vehicle,estHouseholds_MorePeopleThanVehicles,estHouseholds_LessVehiclesThanWorkers,estHouseholds_1Vehicle_2PlusPeople,estHouseholds_2Vehicle_3PlusPeople,estHouseholds_2PlusWorkers1Vehicle,estHouseholds_2PlusWorkers0Vehicles,propEstHouseholds_0Vehicle,propEstHouseholds_MorePeopleThanVehicles,propEstHouseholds_LessVehiclesThanWorkers,propEstPopChildren14Under,propEstPopElderly65Over,brt_routes,brt_stops,has_brt_route,has_brt_stop
1400000US24031700101,11.5235669349,1472,1478,653,658,341,345,677,682,368,372,819,820,795,796,0,0,0,0,25,25,29,29,0,0,0.23165760869565216,0.2334235453315291,0.4436141304347826,0.44519621109607577,0.25,0.2516914749661705,0.45991847826086957,0.4614343707713126,0.5563858695652174,0.5548037889039242,0.5400815217391305,0.5385656292286874,0.016983695652173912,0.016914749661705007,0.01970108695652174,0.01962110960757781,0,0,0,0,0,0,1,456,0,0,456,0,0,57,0,0,57,57,0,0,0,1,RideOn,4783,1579,784,1070,7,482,47,124,206,38,0,0.004433185560481318,0.305256491450285,0.029765674477517417,0.1639138615931424,0.22370896926615094,0,0,0,0
1400000US24031700103,27.2487002485,1725,1742,449,449,310,310,459,459,375,375,1276,1293,1266,1283,0,0,0,0,10,10,67,67,5,5,0.17971014492753623,0.17795637198622274,0.26028985507246377,0.25774971297359356,0.21739130434782608,0.21526980482204364,0.26608695652173914,0.2634902411021814,0.7397101449275363,0.7422502870264064,0.7339130434782609,0.7365097588978186,0.005797101449275362,0.0057405281285878304,0.03884057971014493,0.038461538461538464,0.002898550724637681,0.0028702640642939152,0,0,0,0,4,2578,1428,886,644,357,222,229,116,96,57,60,1,1,0,4,RideOn,5515,1868,707,1270,52,617,243,96,322,77,7,0.027837259100642397,0.3302997858672377,0.13008565310492506,0.12819582955575703,0.2302810516772439,0,0,0,0
1400000US24031700104,0.936691377617,1918,1918,1917,1917,1428,1428,1917,1917,1526,1526,1,1,1,1,0,0,0,0,0,0,99,99,0,0,0.7445255474452555,0.7445255474452555,0.9994786235662148,0.9994786235662148,0.7956204379562044,0.7956204379562044,0.9994786235662148,0.9994786235662148,5.213764337851929e-4,5.213764337851929e-4,5.213764337851929e-4,5.213764337851929e-4,0,0,0.0516162669447341,0.0516162669447341,0,0,0,0,0,0,2,1469,686,429,734,343,214,121,49,43,60,60,1,1,0,2,RideOn,4778,1677,1109,726,56,679,88,176,296,10,16,0.033392963625521764,0.4048896839594514,0.05247465712581992,0.2321054834658853,0.15194642109669318,0,0,0,0
1400000US24031700105,2.35036834329,1997,2104,1997,2104,1585,1692,1997,2104,1623,1730,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0.7936905358037055,0.8041825095057035,1,1,0.8127190786179269,0.8222433460076045,1,1,0,0,0,0,0,0,0.019529293940911366,0.0185361216730038,0,0,0,0,0,0,4,2553,1428,886,638,357,222,216,116,96,54,60,1,1,0,4,RideOn,6929,2084,1928,795,97,1204,94,134,729,22,11,0.04654510556621881,0.5777351247600768,0.045105566218809984,0.2782508298455766,0.11473517102034926,0,0,0,0
1400000US24031700204,14.5187073292,558,562,0,0,0,0,0,0,0,0,558,562,558,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RideOn,2304,907,334,670,8,281,14,159,76,14,0,0.008820286659316428,0.3098125689084895,0.015435501653803748,0.1449652777777778,0.2907986111111111,0,0,0,0
1400000US24031700206,4.94055832922,1869,1873,1360,1364,904,908,1365,1369,944,948,509,509,504,504,0,0,0,0,5,5,41,41,0,0,0.48368111289459603,0.4847837693539776,0.7276618512573568,0.7282434596903363,0.5050829320492242,0.5061398825413774,0.7303370786516854,0.7309129738387613,0.2723381487426431,0.2717565403096636,0.2696629213483146,0.26908702616123864,0.002675227394328518,0.0026695141484249867,0.021936864633493848,0.02189001601708489,0,0,0,0,0,0,1,456,0,0,456,0,0,57,0,0,57,57,0,0,0,1,RideOn,5508,1917,957,787,64,763,105,68,368,21,7,0.03338549817423057,0.39801773604590507,0.054773082942097026,0.17374727668845316,0.14288307915758897,0,0,0,0
1400000US24031700207,2.19857067811,1437,2070,1434,2067,1362,1995,1434,2067,1374,2007,3,3,3,3,0,0,0,0,0,0,12,12,0,0,0.9478079331941545,0.9637681159420289,0.9979123173277662,0.9985507246376811,0.9561586638830898,0.9695652173913043,0.9979123173277662,0.9985507246376811,0.0020876826722338203,0.0014492753623188406,0.0020876826722338203,0.0014492753623188406,0,0,0.008350730688935281,0.005797101449275362,0,0,0,0,0,0,1,456,0,0,456,0,0,57,0,0,57,57,0,0,0,1,RideOn,5827,1861,1247,693,33,846,204,284,355,95,0,0.017732401934443847,0.45459430413756047,0.10961848468565287,0.2140037755277158,0.11892912304788056,0,0,0,0
1400000US24031700208,5.3074266258,896,1055,398,556,245,402,400,558,252,409,498,499,496,497,0,0,0,0,2,2,8,8,0,0,0.2734375,0.381042654028436,0.44419642857142855,0.5270142180094787,0.28125,0.3876777251184834,0.44642857142857145,0.5289099526066351,0.5558035714285714,0.4729857819905213,0.5535714285714286,0.4710900473933649,0.002232142857142857,0.0018957345971563982,0.008928571428571428,0.007582938388625593,0,0,0,0,0,0,1,456,0,0,456,0,0,57,0,0,57,57,0,0,0,1,RideOn,2746,901,428,511,19,375,30,141,122,11,13,0.021087680355160933,0.416204217536071,0.033296337402885685,0.15586307356154405,0.18608885651857246,0,0,0,0
1400000US24031700209,7.28963875064,1461,1464,913,915,585,586,928,930,631,633,548,549,533,534,10,10,4,4,15,15,46,47,0,0,0.4004106776180698,0.40027322404371585,0.6249144421629022,0.625,0.431895961670089,0.4323770491803279,0.6351813826146475,0.6352459016393442,0.3750855578370979,0.375,0.3648186173853525,0.36475409836065575,0.01026694045174538,0.010245901639344262,0.03148528405201916,0.03210382513661202,0,0,0.006844626967830253,0.006830601092896175,0.0027378507871321013,0.00273224043715847,2,548,0,0,274,0,0,71,0,0,36,36,0,0,0,2,RideOn,4716,1620,643,932,0,448,45,76,298,45,0,0,0.2765432098765432,0.027777777777777776,0.13634435962680239,0.19762510602205258,1,0,1,0
1400000US24031700210,1.78202633489,2158,2913,2158,2913,1994,2749,2158,2913,2130,2885,0,0,0,0,1834,2589,1106,1729,0,0,136,136,0,0,0.9240037071362373,0.943700652248541,1,1,0.9870250231696015,0.9903879162375557,1,1,0,0,0,0,0,0,0.06302131603336422,0.04668726398901476,0,0,0.8498609823911029,0.8887744593202883,0.5125115848007414,0.5935461723309303,5,1594,550,227,319,110,45,230,90,46,46,57,1,1,0,5,RideOn,8741,2774,2271,917,142,1759,202,409,770,40,20,0.05118961788031723,0.6341023792357606,0.07281903388608507,0.2598100903786752,0.10490790527399611,1,1,1,1
