route_name,wkday_departures,sat_departures,sun_departures,agency,wkday_riders,sat_riders,sun_riders
1,74,57,57,MC RideOn,710,546,349
100,138,68,54,MC RideOn,908,381,234
101,90,0,0,MC RideOn,1166,0,0
11,24,0,0,MC RideOn,260,0,0
12,76,64,64,MC RideOn,769,645,447
13,20,0,0,MC RideOn,222,0,0
14,54,43,0,MC RideOn,387,230,0
15,142,106,86,MC RideOn,1535,1141,665
16,104,97,84,MC RideOn,2174,2123,1515
17,68,53,48,MC RideOn,508,435,233
18,54,43,36,MC RideOn,381,185,124
19,9,0,0,MC RideOn,51,0,0
2,68,52,52,MC RideOn,429,173,147
20,95,76,76,MC RideOn,1487,1244,865
21,11,0,0,MC RideOn,165,0,0
22,28,0,0,MC RideOn,226,0,0
23,58,48,0,MC RideOn,430,235,0
24,14,0,0,MC RideOn,105,0,0
25,26,0,0,MC RideOn,136,0,0
26,94,70,70,MC RideOn,2314,1707,1136
27,70,36,36,MC RideOn,227,126,84
28,34,34,0,MC RideOn,118,99,0
29,51,46,42,MC RideOn,440,244,152
30,48,0,0,MC RideOn,299,0,0
301,18,18,18,MC RideOn,91,55,22
31,18,0,0,MC RideOn,82,0,0
32,24,0,0,MC RideOn,163,0,0
33,33,0,0,MC RideOn,234,0,0
34,76,58,58,MC RideOn,718,439,314
36,21,0,0,MC RideOn,107,0,0
37,25,0,0,MC RideOn,175,0,0
38,62,50,50,MC RideOn,602,484,341
39,30,0,0,MC RideOn,224,0,0
4,32,0,0,MC RideOn,170,0,0
40,183,139,121,MC RideOn,3331,2185,1713
41,60,59,59,MC RideOn,714,587,380
42,47,36,0,MC RideOn,215,98,0
43,64,44,44,MC RideOn,277,176,117
44,17,0,0,MC RideOn,85,0,0
45,57,38,0,MC RideOn,702,347,0
46,106,82,76,MC RideOn,2175,1699,1116
47,68,50,50,MC RideOn,1007,642,474
48,85,57,51,MC RideOn,1508,809,598
49,82,54,54,MC RideOn,1489,817,623
5,79,60,56,MC RideOn,898,638,392
51,26,0,0,MC RideOn,170,0,0
52,18,0,0,MC RideOn,82,0,0
53,26,0,0,MC RideOn,135,0,0
54,77,53,48,MC RideOn,1244,845,577
55,139,117,104,MC RideOn,5783,4102,2843
56,79,53,46,MC RideOn,1596,909,525
57,82,67,53,MC RideOn,974,742,457
58,64,49,43,MC RideOn,1013,686,429
59,88,66,66,MC RideOn,2319,1544,1175
6,40,0,0,MC RideOn,211,0,0
60,13,0,0,MC RideOn,110,0,0
61,78,54,54,MC RideOn,1509,1010,740
63,51,0,0,MC RideOn,317,0,0
64,73,48,48,MC RideOn,1072,563,355
65,11,0,0,MC RideOn,45,0,0
66,14,0,0,MC RideOn,65,0,0
67,15,0,0,MC RideOn,78,0,0
7,12,0,0,MC RideOn,40,0,0
70,44,0,0,MC RideOn,363,0,0
71,13,0,0,MC RideOn,121,0,0
73,32,0,0,MC RideOn,107,0,0
74,61,48,0,MC RideOn,874,484,0
75,60,46,46,MC RideOn,528,357,227
76,51,36,0,MC RideOn,297,86,0
78,37,36,0,MC RideOn,341,156,0
79,14,0,0,MC RideOn,92,0,0
8,44,36,36,MC RideOn,442,267,203
81,30,0,0,MC RideOn,103,0,0
83,67,44,0,MC RideOn,411,193,0
9,72,48,44,MC RideOn,661,329,239
90,57,0,0,MC RideOn,456,0,0
96,34,0,0,MC RideOn,180,0,0
97,50,31,31,MC RideOn,725,291,239
98,48,42,0,MC RideOn,327,171,0
FLASH,191,152,152,MC RideOn,2684,1662,751
LIME,130,64,64,MC RideOn,489,206,165
PINK,139,52,52,MC RideOn,484,123,138
A11,76,79,41,WMATA,1329,1109,467
A12,69,68,64,WMATA,1409,1152,835
A1X,160,97,87,WMATA,1246,1024,622
A25,23,0,0,WMATA,326,0,0
A27,132,73,73,WMATA,2165,1051,755
A28,25,0,0,WMATA,510,0,0
A29,17,0,0,WMATA,156,0,0
A40,242,178,165,WMATA,4646,3623,2470
A49,21,0,0,WMATA,635,0,0
A58,142,140,141,WMATA,3421,3217,2440
A66,62,55,28,WMATA,541,425,160
A70,138,135,132,WMATA,2144,1628,1215
A71,62,26,26,WMATA,679,240,179
A76,65,57,27,WMATA,918,565,218
A90,127,0,0,WMATA,1321,0,0
C11,153,144,144,WMATA,5339,3664,2792
C13,208,202,204,WMATA,4822,2834,2279
C15,116,103,103,WMATA,4614,2488,1947
C17,141,83,80,WMATA,3379,1488,995
C21,231,214,214,WMATA,9140,5622,4381
C23,76,70,70,WMATA,1805,1042,744
C25,66,65,62,WMATA,1115,568,445
C26,68,66,63,WMATA,1074,616,403
C27,117,70,72,WMATA,2596,831,609
C29,104,102,103,WMATA,2091,1057,739
C31,252,214,210,WMATA,9439,5330,4351
C33,162,96,102,WMATA,699,297,259
C35,104,74,73,WMATA,1589,702,492
C37,133,118,114,WMATA,3384,2113,1412
C41,225,205,205,WMATA,5681,3268,2480
C43,77,46,46,WMATA,625,227,175
C51,112,117,105,WMATA,4031,3253,2581
C53,253,217,210,WMATA,13711,9404,7300
C55,117,65,62,WMATA,1428,692,523
C57,22,0,0,WMATA,561,0,0
C61,212,206,206,WMATA,5126,3523,2702
C63,74,60,58,WMATA,1048,564,407
C71,88,74,74,WMATA,2086,1122,849
C75,126,102,102,WMATA,2377,847,616
C77,47,0,0,WMATA,477,0,0
C81,112,108,107,WMATA,2954,1715,1339
C83,72,36,36,WMATA,359,141,102
C85,27,0,0,WMATA,724,0,0
C87,36,0,0,WMATA,553,0,0
C91,77,70,68,WMATA,1207,984,793
D10,158,144,144,WMATA,4712,3054,2177
D1X,116,113,100,WMATA,1630,1134,676
D20,246,206,208,WMATA,10165,7841,5489
D24,103,74,74,WMATA,2164,989,723
D2X,124,0,0,WMATA,4021,0,0
D30,176,171,174,WMATA,3570,2222,1635
D32,122,97,97,WMATA,2456,1306,1012
D34,96,70,74,WMATA,2182,1049,757
D36,109,108,106,WMATA,2810,1744,1330
