route_name,wkday_departures,sat_departures,sun_departures,agency,wkday_riders,sat_riders,sun_riders
1,74,57,57,MC RideOn,710,546,349
100,138,68,54,MC RideOn,908,381,234
101,90,0,0,MC RideOn,1166,0,0
11,24,0,0,MC RideOn,260,0,0
12,76,64,64,MC RideOn,769,645,447
13,20,0,0,MC RideOn,222,0,0
14,54,43,0,MC RideOn,387,230,0
15,142,106,86,MC RideOn,1535,1141,665
16,104,97,84,MC RideOn,2174,2123,1515
17,68,53,48,MC RideOn,508,435,233
18,54,43,36,MC RideOn,381,185,124
19,9,0,0,MC RideOn,51,0,0
2,68,52,52,MC RideOn,429,173,147
20,95,76,76,MC RideOn,1487,1244,865
21,11,0,0,MC RideOn,165,0,0
22,28,0,0,MC RideOn,226,0,0
23,58,48,0,MC RideOn,430,235,0
24,14,0,0,MC RideOn,105,0,0
25,26,0,0,MC RideOn,136,0,0
26,94,70,70,MC RideOn,2314,1707,1136
27,70,36,36,MC RideOn,227,126,84
28,34,34,0,MC RideOn,118,99,0
29,51,46,42,MC RideOn,440,244,152
30,48,0,0,MC RideOn,299,0,0
301,18,18,18,MC RideOn,91,55,22
31,18,0,0,MC RideOn,82,0,0
32,24,0,0,MC RideOn,163,0,0
33,33,0,0,MC RideOn,234,0,0
34,76,58,58,MC RideOn,718,439,314
36,21,0,0,MC RideOn,107,0,0
37,25,0,0,MC RideOn,175,0,0
38,62,50,50,MC RideOn,602,484,341
39,30,0,0,MC RideOn,224,0,0
4,32,0,0,MC RideOn,170,0,0
40,183,139,121,MC RideOn,3331,2185,1713
41,60,59,59,MC RideOn,714,587,380
42,47,36,0,MC RideOn,215,98,0
43,64,44,44,MC RideOn,277,176,117
44,17,0,0,MC RideOn,85,0,0
45,57,38,0,MC RideOn,702,347,0
46,106,82,76,MC RideOn,2175,1699,1116
47,68,50,50,MC RideOn,1007,642,474
48,85,57,51,MC RideOn,1508,809,598
49,82,54,54,MC RideOn,1489,817,623
5,79,60,56,MC RideOn,898,638,392
51,26,0,0,MC RideOn,170,0,0
52,18,0,0,MC RideOn,82,0,0
53,26,0,0,MC RideOn,135,0,0
54,77,53,48,MC RideOn,1244,845,577
55,139,117,104,MC RideOn,5783,4102,2843
56,79,53,46,MC RideOn,1596,909,525
57,82,67,53,MC RideOn,974,742,457
58,64,49,43,MC RideOn,1013,686,429
59,88,66,66,MC RideOn,2319,1544,1175
6,40,0,0,MC RideOn,211,0,0
60,13,0,0,MC RideOn,110,0,0
61,78,54,54,MC RideOn,1509,1010,740
63,51,0,0,MC RideOn,317,0,0
64,73,48,48,MC RideOn,1072,563,355
65,11,0,0,MC RideOn,45,0,0
66,14,0,0,MC RideOn,65,0,0
67,15,0,0,MC RideOn,78,0,0
7,12,0,0,MC RideOn,40,0,0
70,44,0,0,MC RideOn,363,0,0
71,13,0,0,MC RideOn,121,0,0
73,32,0,0,MC RideOn,107,0,0
74,61,48,0,MC RideOn,874,484,0
75,60,46,46,MC RideOn,528,357,227
76,51,36,0,MC RideOn,297,86,0
78,37,36,0,MC RideOn,341,156,0
79,14,0,0,MC RideOn,92,0,0
8,44,36,36,MC RideOn,442,267,203
81,30,0,0,MC RideOn,103,0,0
83,67,44,0,MC RideOn,411,193,0
9,72,48,44,MC RideOn,661,329,239
90,57,0,0,MC RideOn,456,0,0
96,34,0,0,MC RideOn,180,0,0
97,50,31,31,MC RideOn,725,291,239
98,48,42,0,MC RideOn,327,171,0
FLASH,191,152,152,MC RideOn,2684,1662,751
LIME,130,64,64,MC RideOn,489,206,165
PINK,139,52,52,MC RideOn,484,123,138
C77,47,0,0,WMATA,477,0,0
C83,72,36,36,WMATA,359,141,102
C85,27,0,0,WMATA,724,0,0
C87,36,0,0,WMATA,553,0,0
D40,216,177,177,WMATA,11458,7771,6054
D4X,175,147,147,WMATA,7085,4577,3732
D50,199,166,144,WMATA,7572,5565,4257
D60,211,175,144,WMATA,5778,3505,2581
D6X,200,161,150,WMATA,5834,3518,2827
D80,268,270,270,WMATA,10456,9483,7122
D82,48,0,0,WMATA,1539,0,0
D96,91,68,64,WMATA,2517,1344,896
M12,221,177,175,WMATA,6502,4763,3202
M20,253,180,174,WMATA,4746,2483,1706
M22,97,109,109,WMATA,2877,3234,2109
M42,75,36,34,WMATA,2561,1205,760
M44,77,34,32,WMATA,3081,1397,913
M52,70,65,65,WMATA,2186,1412,886
M54,85,82,82,WMATA,1767,1376,938
M60,181,170,173,WMATA,6602,5732,3971
M6X,53,0,0,WMATA,683,0,0
M70,198,174,173,WMATA,4523,2872,1995
M82,58,51,51,WMATA,813,450,385
P15,25,0,0,WMATA,685,0,0
P16,110,64,58,WMATA,3286,1643,1042
P30,178,163,157,WMATA,6296,4883,3074
P31,70,65,61,WMATA,1566,1370,959
P42,83,59,51,WMATA,1847,1184,716
