route_short_name,wkday_departures,sat_departures,sun_departures
1,74,57,57
100,138,68,54
101,90,0,0
11,24,0,0
12,76,64,64
13,20,0,0
14,54,43,0
15,142,106,86
16,104,97,84
17,68,53,48
18,54,43,36
19,9,0,0
2,68,52,52
20,95,76,76
21,11,0,0
22,28,0,0
23,58,48,0
24,14,0,0
25,26,0,0
26,94,70,70
27,70,36,36
28,34,34,0
29,51,46,42
30,48,0,0
301,18,18,18
31,18,0,0
32,24,0,0
33,33,0,0
34,76,58,58
36,21,0,0
37,25,0,0
38,62,50,50
39,30,0,0
4,32,0,0
40,183,139,121
41,60,59,59
42,47,36,0
43,64,44,44
44,17,0,0
45,57,38,0
46,106,82,76
47,68,50,50
48,85,57,51
49,82,54,54
5,79,60,56
51,26,0,0
52,18,0,0
53,26,0,0
54,77,53,48
55,139,117,104
56,79,53,46
57,82,67,53
58,64,49,43
59,88,66,66
6,40,0,0
60,13,0,0
61,78,54,54
63,51,0,0
64,73,48,48
65,11,0,0
66,14,0,0
67,15,0,0
7,12,0,0
70,44,0,0
71,13,0,0
73,32,0,0
74,61,48,0
75,60,46,46
76,51,36,0
78,37,36,0
79,14,0,0
8,44,36,36
81,30,0,0
83,67,44,0
9,72,48,44
90,57,0,0
96,34,0,0
97,50,31,31
98,48,42,0
FLASH,191,152,152
LIME,130,64,64
PINK,139,52,52
