"GEO_ID","NAME","B08201_001E","B08201_001M","B08201_002E","B08201_002M","B08201_003E","B08201_003M","B08201_004E","B08201_004M","B08201_005E","B08201_005M","B08201_006E","B08201_006M","B08201_007E","B08201_007M","B08201_008E","B08201_008M","B08201_009E","B08201_009M","B08201_010E","B08201_010M","B08201_011E","B08201_011M","B08201_012E","B08201_012M","B08201_013E","B08201_013M","B08201_014E","B08201_014M","B08201_015E","B08201_015M","B08201_016E","B08201_016M","B08201_017E","B08201_017M","B08201_018E","B08201_018M","B08201_019E","B08201_019M","B08201_020E","B08201_020M","B08201_021E","B08201_021M","B08201_022E","B08201_022M","B08201_023E","B08201_023M","B08201_024E","B08201_024M","B08201_025E","B08201_025M","B08201_026E","B08201_026M","B08201_027E","B08201_027M","B08201_028E","B08201_028M","B08201_029E","B08201_029M","B08201_030E","B08201_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!1-person household:","Margin of Error!!Total:!!1-person household:","Estimate!!Total:!!1-person household:!!No vehicle available","Margin of Error!!Total:!!1-person household:!!No vehicle available","Estimate!!Total:!!1-person household:!!1 vehicle available","Margin of Error!!Total:!!1-person household:!!1 vehicle available","Estimate!!Total:!!1-person household:!!2 vehicles available","Margin of Error!!Total:!!1-person household:!!2 vehicles available","Estimate!!Total:!!1-person household:!!3 vehicles available","Margin of Error!!Total:!!1-person household:!!3 vehicles available","Estimate!!Total:!!1-person household:!!4 or more vehicles available","Margin of Error!!Total:!!1-person household:!!4 or more vehicles available","Estimate!!Total:!!2-person household:","Margin of Error!!Total:!!2-person household:","Estimate!!Total:!!2-person household:!!No vehicle available","Margin of Error!!Total:!!2-person household:!!No vehicle available","Estimate!!Total:!!2-person household:!!1 vehicle available","Margin of Error!!Total:!!2-person household:!!1 vehicle available","Estimate!!Total:!!2-person household:!!2 vehicles available","Margin of Error!!Total:!!2-person household:!!2 vehicles available","Estimate!!Total:!!2-person household:!!3 vehicles available","Margin of Error!!Total:!!2-person household:!!3 vehicles available","Estimate!!Total:!!2-person household:!!4 or more vehicles available","Margin of Error!!Total:!!2-person household:!!4 or more vehicles available","Estimate!!Total:!!3-person household:","Margin of Error!!Total:!!3-person household:","Estimate!!Total:!!3-person household:!!No vehicle available","Margin of Error!!Total:!!3-person household:!!No vehicle available","Estimate!!Total:!!3-person household:!!1 vehicle available","Margin of Error!!Total:!!3-person household:!!1 vehicle available","Estimate!!Total:!!3-person household:!!2 vehicles available","Margin of Error!!Total:!!3-person household:!!2 vehicles available","Estimate!!Total:!!3-person household:!!3 vehicles available","Margin of Error!!Total:!!3-person household:!!3 vehicles available","Estimate!!Total:!!3-person household:!!4 or more vehicles available","Margin of Error!!Total:!!3-person household:!!4 or more vehicles available","Estimate!!Total:!!4-or-more-person household:","Margin of Error!!Total:!!4-or-more-person household:","Estimate!!Total:!!4-or-more-person household:!!No vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!No vehicle available","Estimate!!Total:!!4-or-more-person household:!!1 vehicle available","Margin of Error!!Total:!!4-or-more-person household:!!1 vehicle available","Estimate!!Total:!!4-or-more-person household:!!2 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!2 vehicles available","Estimate!!Total:!!4-or-more-person household:!!3 vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!3 vehicles available","Estimate!!Total:!!4-or-more-person household:!!4 or more vehicles available","Margin of Error!!Total:!!4-or-more-person household:!!4 or more vehicles available",
"1400000US24031700101","Census Tract 7001.01; Montgomery County; Maryland","1579","163","7","10","215","86","662","159","424","96","271","109","164","66","7","10","91","54","41","23","8","12","17","17","716","158","0","14","96","68","415","138","161","71","44","30","325","98","0","14","28","25","143","69","110","62","44","36","374","91","0","14","0","14","63","48","145","62","166","86",
"1400000US24031700103","Census Tract 7001.03; Montgomery County; Maryland","1868","224","52","59","197","71","885","221","470","100","264","90","174","73","45","59","101","52","13","14","15","20","0","19","773","164","7","10","32","28","550","147","115","50","69","46","510","176","0","19","52","56","224","154","193","79","41","33","411","93","0","19","12","16","98","49","147","48","154","75",
"1400000US24031700104","Census Tract 7001.04; Montgomery County; Maryland","1677","155","56","44","491","145","731","132","301","139","98","60","420","113","15","25","315","104","90","66","0","14","0","14","470","119","14","19","44","36","345","104","37","29","30","42","208","74","0","14","22","31","73","46","113","64","0","14","579","130","27","30","110","72","223","82","151","124","68","47",
"1400000US24031700105","Census Tract 7001.05; Montgomery County; Maryland","2084","218","97","105","305","127","1292","264","331","147","59","51","286","109","86","102","171","97","29","32","0","19","0","19","650","171","0","19","77","69","534","154","39","45","0","19","379","168","0","19","57","74","246","147","48","50","28","32","769","218","11","19","0","19","483","253","244","138","31","39",
"1400000US24031700204","Census Tract 7002.04; Montgomery County; Maryland","907","168","8","12","236","179","329","105","135","49","199","76","162","93","8","12","77","34","66","86","11","12","0","14","463","191","0","14","152","174","187","62","52","26","72","74","87","47","0","14","0","14","23","17","34","35","30","23","195","43","0","14","7","10","53","41","38","22","97","37",
"1400000US24031700206","Census Tract 7002.06; Montgomery County; Maryland","1917","221","64","46","226","79","905","158","495","235","227","78","257","81","11","17","158","66","49","35","0","19","39","30","670","131","53","42","44","35","488","123","66","46","19","20","325","124","0","19","18","21","80","53","166","108","61","42","665","224","0","19","6","13","288","103","263","199","108","67",
"1400000US24031700207","Census Tract 7002.07; Montgomery County; Maryland","1861","153","33","33","516","149","726","154","345","120","241","112","346","106","25","30","232","107","76","59","13","18","0","19","539","106","8","15","114","61","295","98","72","43","50","40","387","141","0","19","99","65","99","72","86","66","103","108","589","100","0","19","71","62","256","95","174","79","88","60",
"1400000US24031700208","Census Tract 7002.08; Montgomery County; Maryland","901","94","19","17","271","98","288","76","211","69","112","53","190","58","6","9","130","59","54","41","0","14","0","14","225","79","0","14","49","68","112","47","58","35","6","9","185","66","6","9","54","47","65","43","60","34","0","14","301","79","7","11","38","33","57","37","93","58","106","52",
"1400000US24031700209","Census Tract 7002.09; Montgomery County; Maryland","1620","246","0","14","198","104","742","180","390","167","290","163","237","114","0","14","122","84","83","100","12","19","20","30","607","173","0","14","31","37","361","119","185","147","30","22","307","94","0","14","36","57","111","49","119","52","41","33","469","142","0","14","9","15","187","66","74","44","199","153",
"1400000US24031700210","Census Tract 7002.10; Montgomery County; Maryland","2774","207","142","101","601","155","1263","242","708","192","60","64","270","105","49","66","192","98","29","34","0","19","0","19","733","168","0","19","157","86","464","135","112","121","0","19","571","199","0","19","91","76","313","167","158","91","9","16","1200","217","93","80","161","91","457","154","438","184","51","64",
"1400000US24031700306","Census Tract 7003.06; Montgomery County; Maryland","2375","194","121","123","633","156","1271","218","263","128","87","71","334","120","0","19","334","120","0","19","0","19","0","19","515","132","0","19","9","14","477","132","0","19","29","43","553","203","91","119","124","101","247","141","91","68","0","19","973","156","30","34","166","85","547","132","172","103","58","59",
"1400000US24031700308","Census Tract 7003.08; Montgomery County; Maryland","2555","220","179","116","913","199","1001","216","170","89","292","180","807","195","137","101","608","178","62","74","0","19","0","19","657","157","0","19","111","77","478","144","29","36","39","61","441","213","0","19","194","165","150","115","97","86","0","19","650","227","42","65","0","19","311","161","44","48","253","176",
"1400000US24031700309","Census Tract 7003.09; Montgomery County; Maryland","2573","228","231","146","1376","201","705","233","131","124","130","99","1193","261","36","40","956","194","184","171","0","19","17","30","608","206","179","138","227","120","184","113","18","30","0","19","260","110","16","27","95","74","133","96","16","26","0","19","512","139","0","19","98","73","204","113","97","113","113","99",
"1400000US24031700310","Census Tract 7003.10; Montgomery County; Maryland","2743","209","153","125","1333","246","949","276","259","141","49","47","864","209","49","52","729","206","86","110","0","19","0","19","942","257","18","28","477","163","447","216","0","19","0","19","404","205","60","97","87","86","122","127","117","93","18","28","533","176","26","45","40","47","294","150","142","111","31","40",
"1400000US24031700313","Census Tract 7003.13; Montgomery County; Maryland","1513","151","46","34","634","185","576","214","218","137","39","37","367","117","12","20","308","114","27","37","20","32","0","14","426","153","16","25","247","112","163","98","0","14","0","14","408","180","0","14","79","87","285","177","44","55","0","14","312","115","18","26","0","14","101","64","154","122","39","37",
"1400000US24031700314","Census Tract 7003.14; Montgomery County; Maryland","1122","157","0","14","217","126","613","115","215","89","77","47","121","102","0","14","108","99","0","14","0","14","13","22","389","90","0","14","54","35","276","86","59","45","0","14","339","101","0","14","48","56","170","79","99","65","22","24","273","84","0","14","7","13","167","78","57","41","42","33",
"1400000US24031700315","Census Tract 7003.15; Montgomery County; Maryland","1722","244","32","33","231","89","739","158","602","280","118","58","75","62","0","19","75","62","0","19","0","19","0","19","320","88","9","14","51","36","167","61","64","73","29","30","554","284","23","30","84","63","170","80","277","262","0","19","773","126","0","19","21","26","402","114","261","105","89","51",
"1400000US24031700316","Census Tract 7003.16; Montgomery County; Maryland","1321","132","63","60","324","117","566","112","306","157","62","56","250","138","33","48","134","88","14","23","69","81","0","14","327","110","0","14","72","62","142","68","62","68","51","53","384","99","13","27","65","49","196","97","99","82","11","19","360","120","17","29","53","63","214","60","76","94","0","14",
"1400000US24031700317","Census Tract 7003.17; Montgomery County; Maryland","2603","353","146","142","420","160","1385","295","385","134","267","122","359","175","74","113","202","117","83","60","0","19","0","19","824","192","72","97","75","56","488","148","155","102","34","41","499","280","0","19","38","45","336","253","56","41","69","56","921","238","0","19","105","94","478","214","174","87","164","107",
"1400000US24031700318","Census Tract 7003.18; Montgomery County; Maryland","1155","263","8","15","376","250","483","109","229","106","59","47","150","70","0","14","78","55","60","59","12","18","0","14","391","247","0","14","240","244","120","63","31","34","0","14","129","66","8","15","22","25","57","44","42","48","0","14","485","108","0","14","36","37","246","82","144","93","59","47",
"1400000US24031700400","Census Tract 7004; Montgomery County; Maryland","836","110","5","8","130","53","296","80","271","78","134","49","115","47","0","14","60","42","35","18","16","14","4","7","345","96","0","14","26","26","184","68","104","57","31","31","137","48","5","8","5","8","25","17","64","33","38","33","239","58","0","14","39","35","52","32","87","44","61","26",
"1400000US24031700500","Census Tract 7005; Montgomery County; Maryland","2695","252","17","27","349","186","1425","266","643","172","261","109","380","175","17","27","122","79","241","165","0","19","0","19","1110","236","0","19","186","149","559","208","317","171","48","46","554","202","0","19","41","42","306","189","175","90","32","35","651","121","0","19","0","19","319","129","151","94","181","95",
"1400000US24031700604","Census Tract 7006.04; Montgomery County; Maryland","2335","216","48","53","246","103","1095","188","629","215","317","87","211","88","22","34","122","68","67","49","0","19","0","19","808","192","0","19","65","53","416","144","263","145","64","55","559","169","0","19","14","21","223","99","157","119","165","75","757","143","26","40","45","52","389","106","209","119","88","59",
"1400000US24031700606","Census Tract 7006.06; Montgomery County; Maryland","1312","118","26","33","260","84","633","124","344","101","49","35","152","85","18","29","94","54","40","52","0","14","0","14","477","83","8","13","94","51","275","66","92","44","8","14","210","74","0","14","22","24","93","48","80","58","15","20","473","85","0","14","50","31","225","63","172","87","26","24",
"1400000US24031700608","Census Tract 7006.08; Montgomery County; Maryland","1840","187","34","25","221","102","821","187","447","123","317","112","152","68","15","22","79","52","32","29","8","14","18","21","708","172","10","16","59","46","420","150","174","87","45","37","517","144","0","19","63","61","231","115","113","51","110","88","463","95","9","13","20","22","138","51","152","76","144","59",
"1400000US24031700610","Census Tract 7006.10; Montgomery County; Maryland","758","132","3","5","184","86","414","105","99","33","58","41","123","85","0","14","108","84","8","11","7","11","0","14","314","95","0","14","39","18","248","94","20","16","7","10","173","44","3","5","19","16","85","40","55","25","11","15","148","34","0","14","18","16","73","24","17","13","40","36",
"1400000US24031700611","Census Tract 7006.11; Montgomery County; Maryland","1723","230","6","9","316","96","968","199","252","72","181","175","96","61","0","19","86","59","10","15","0","19","0","19","483","94","0","19","154","66","272","84","57","38","0","19","480","181","6","9","16","21","311","158","125","57","22","21","664","206","0","19","60","58","375","82","70","41","159","173",
"1400000US24031700613","Census Tract 7006.13; Montgomery County; Maryland","2055","189","73","97","542","157","895","202","375","109","170","95","264","122","14","22","233","110","0","19","0","19","17","27","707","137","59","96","192","95","405","128","40","37","11","18","378","148","0","19","66","51","210","135","59","48","43","42","706","188","0","19","51","66","280","143","276","99","99","77",
"1400000US24031700614","Census Tract 7006.14; Montgomery County; Maryland","2239","318","74","70","1024","229","989","300","79","83","73","69","442","171","17","29","349","125","76","104","0","19","0","19","1143","317","57","65","474","231","590","239","22","37","0","19","263","137","0","19","51","52","155","100","57","75","0","19","391","174","0","19","150","86","168","112","0","19","73","69",
"1400000US24031700615","Census Tract 7006.15; Montgomery County; Maryland","1001","108","17","15","201","85","481","106","225","61","77","31","118","58","0","14","90","55","28","26","0","14","0","14","379","80","12","14","79","65","201","50","74","35","13","14","187","74","5","7","12","12","100","79","51","33","19","17","317","41","0","14","20","18","152","34","100","36","45","26",
"1400000US24031700616","Census Tract 7006.16; Montgomery County; Maryland","1764","272","63","63","424","224","898","168","264","93","115","76","410","237","23","40","330","224","57","53","0","19","0","19","529","125","0","19","81","45","368","89","39","34","41","55","274","84","40","54","0","19","101","49","124","61","9","14","551","123","0","19","13","19","372","151","101","75","65","44",
"1400000US24031700617","Census Tract 7006.17; Montgomery County; Maryland","700","62","36","29","213","53","299","78","125","64","27","20","118","45","14","21","104","38","0","14","0","14","0","14","288","63","15","17","55","28","138","61","80","49","0","14","113","45","0","14","30","27","50","28","25","19","8","13","181","47","7","11","24","26","111","52","20","28","19","16",
"1400000US24031700618","Census Tract 7006.18; Montgomery County; Maryland","1685","230","26","31","254","75","1003","211","297","96","105","49","84","45","0","19","78","44","0","19","6","11","0","19","599","109","26","31","122","57","377","96","57","40","17","20","292","102","0","19","26","29","193","83","73","46","0","19","710","224","0","19","28","33","433","208","161","87","88","44",
"1400000US24031700706","Census Tract 7007.06; Montgomery County; Maryland","1547","160","128","84","618","149","564","118","180","73","57","54","349","136","40","35","299","128","10","16","0","14","0","14","515","142","88","78","152","87","266","85","9","14","0","14","325","114","0","14","78","54","165","93","68","52","14","23","358","99","0","14","89","64","123","61","103","69","43","48",
