"GEO_ID","NAME","B08141_001E","B08141_001M","B08141_002E","B08141_002M","B08141_003E","B08141_003M","B08141_004E","B08141_004M","B08141_005E","B08141_005M","B08141_006E","B08141_006M","B08141_007E","B08141_007M","B08141_008E","B08141_008M","B08141_009E","B08141_009M","B08141_010E","B08141_010M","B08141_011E","B08141_011M","B08141_012E","B08141_012M","B08141_013E","B08141_013M","B08141_014E","B08141_014M","B08141_015E","B08141_015M","B08141_016E","B08141_016M","B08141_017E","B08141_017M","B08141_018E","B08141_018M","B08141_019E","B08141_019M","B08141_020E","B08141_020M","B08141_021E","B08141_021M","B08141_022E","B08141_022M","B08141_023E","B08141_023M","B08141_024E","B08141_024M","B08141_025E","B08141_025M","B08141_026E","B08141_026M","B08141_027E","B08141_027M","B08141_028E","B08141_028M","B08141_029E","B08141_029M","B08141_030E","B08141_030M","B08141_031E","B08141_031M","B08141_032E","B08141_032M","B08141_033E","B08141_033M","B08141_034E","B08141_034M","B08141_035E","B08141_035M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 or more vehicles available","Margin of Error!!Total:!!3 or more vehicles available","Estimate!!Total:!!Car, truck, or van - drove alone:","Margin of Error!!Total:!!Car, truck, or van - drove alone:","Estimate!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Estimate!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Estimate!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Estimate!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Estimate!!Total:!!Car, truck, or van - carpooled:","Margin of Error!!Total:!!Car, truck, or van - carpooled:","Estimate!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Estimate!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Estimate!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Estimate!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Estimate!!Total:!!Public transportation:","Margin of Error!!Total:!!Public transportation:","Estimate!!Total:!!Public transportation:!!No vehicle available","Margin of Error!!Total:!!Public transportation:!!No vehicle available","Estimate!!Total:!!Public transportation:!!1 vehicle available","Margin of Error!!Total:!!Public transportation:!!1 vehicle available","Estimate!!Total:!!Public transportation:!!2 vehicles available","Margin of Error!!Total:!!Public transportation:!!2 vehicles available","Estimate!!Total:!!Public transportation:!!3 or more vehicles available","Margin of Error!!Total:!!Public transportation:!!3 or more vehicles available","Estimate!!Total:!!Walked:","Margin of Error!!Total:!!Walked:","Estimate!!Total:!!Walked:!!No vehicle available","Margin of Error!!Total:!!Walked:!!No vehicle available","Estimate!!Total:!!Walked:!!1 vehicle available","Margin of Error!!Total:!!Walked:!!1 vehicle available","Estimate!!Total:!!Walked:!!2 vehicles available","Margin of Error!!Total:!!Walked:!!2 vehicles available","Estimate!!Total:!!Walked:!!3 or more vehicles available","Margin of Error!!Total:!!Walked:!!3 or more vehicles available","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!No vehicle available","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!No vehicle available","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!1 vehicle available","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!1 vehicle available","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!2 vehicles available","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!2 vehicles available","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!3 or more vehicles available","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, bicycle, or other means:!!3 or more vehicles available","Estimate!!Total:!!Worked from home:","Margin of Error!!Total:!!Worked from home:","Estimate!!Total:!!Worked from home:!!No vehicle available","Margin of Error!!Total:!!Worked from home:!!No vehicle available","Estimate!!Total:!!Worked from home:!!1 vehicle available","Margin of Error!!Total:!!Worked from home:!!1 vehicle available","Estimate!!Total:!!Worked from home:!!2 vehicles available","Margin of Error!!Total:!!Worked from home:!!2 vehicles available","Estimate!!Total:!!Worked from home:!!3 or more vehicles available","Margin of Error!!Total:!!Worked from home:!!3 or more vehicles available",
"1400000US24031700101","Census Tract 7001.01; Montgomery County; Maryland","2190","218","0","14","164","97","792","205","1234","234","1174","187","0","14","117","71","385","139","672","190","213","98","0","14","29","37","47","47","137","85","4","5","0","14","0","14","2","3","2","4","70","51","0","14","18","28","7","10","45","39","4","6","0","14","0","14","0","14","4","6","725","152","0","14","0","14","351","116","374","132",
"1400000US24031700103","Census Tract 7001.03; Montgomery County; Maryland","3086","533","21","24","288","175","1345","500","1432","279","1991","393","0","19","128","71","926","349","937","207","41","28","0","19","7","10","22","25","12","18","54","41","0","19","0","19","22","22","32","31","70","49","12","18","2","3","4","7","52","45","19","22","0","19","8","13","11","17","0","19","911","264","9","15","143","176","360","195","399","125",
"1400000US24031700104","Census Tract 7001.04; Montgomery County; Maryland","2274","351","67","64","308","122","1073","260","826","282","1274","273","0","14","136","71","528","174","610","238","73","50","11","17","8","20","29","23","25","33","121","83","0","14","10","13","54","58","57","52","11","18","0","14","0","14","11","18","0","14","48","61","6","9","42","60","0","14","0","14","747","180","50","61","112","64","451","140","134","80",
"1400000US24031700105","Census Tract 7001.05; Montgomery County; Maryland","3013","484","24","41","176","97","1872","518","941","376","1776","374","24","41","95","75","997","305","660","326","190","123","0","19","13","20","75","77","102","110","222","152","0","19","0","19","152","135","70","70","0","19","0","19","0","19","0","19","0","19","93","68","0","19","21","33","40","40","32","47","732","266","0","19","47","42","608","252","77","68",
"1400000US24031700204","Census Tract 7002.04; Montgomery County; Maryland","1182","235","0","14","182","173","340","107","660","157","652","136","0","14","38","23","207","83","407","109","113","71","0","14","13","20","31","29","69","62","6","9","0","14","0","14","6","9","0","14","13","15","0","14","0","14","0","14","13","15","0","14","0","14","0","14","0","14","0","14","398","196","0","14","131","170","96","67","171","82",
"1400000US24031700206","Census Tract 7002.06; Montgomery County; Maryland","3164","504","64","52","188","84","1260","258","1652","544","1806","479","0","19","129","73","605","150","1072","463","338","148","0","19","0","19","167","107","171","120","97","63","0","19","8","13","65","51","24","29","46","38","46","38","0","19","0","19","0","19","89","114","0","19","0","19","12","19","77","113","788","231","18","27","51","46","411","181","308","161",
"1400000US24031700207","Census Tract 7002.07; Montgomery County; Maryland","3103","370","19","22","593","203","1254","304","1237","367","1993","397","8","15","349","160","796","217","840","314","326","143","0","19","75","83","128","123","123","71","13","20","0","19","13","20","0","19","0","19","0","19","0","19","0","19","0","19","0","19","10","17","0","19","10","17","0","19","0","19","761","215","11","17","146","75","330","169","274","166",
"1400000US24031700208","Census Tract 7002.08; Montgomery County; Maryland","1301","154","40","47","203","85","397","123","661","162","905","127","14","21","138","72","295","110","458","122","74","53","8","12","19","16","0","14","47","50","8","12","0","14","0","14","0","14","8","12","21","24","0","14","7","10","0","14","14","21","0","14","0","14","0","14","0","14","0","14","293","96","18","20","39","44","102","50","134","80",
"1400000US24031700209","Census Tract 7002.09; Montgomery County; Maryland","2677","479","0","14","190","138","1101","298","1386","461","1703","395","0","14","136","93","671","228","896","364","71","63","0","14","18","29","16","19","37","51","27","32","0","14","0","14","27","32","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","876","250","0","14","36","57","387","161","453","220",
"1400000US24031700210","Census Tract 7002.10; Montgomery County; Maryland","4367","429","160","113","538","165","2102","428","1567","425","2547","414","73","74","378","134","974","360","1122","321","270","163","38","64","0","19","92","98","140","121","32","40","0","19","12","22","20","33","0","19","49","66","49","66","0","19","0","19","0","19","57","64","0","19","0","19","14","23","43","61","1412","330","0","19","148","90","1002","296","262","153",
"1400000US24031700306","Census Tract 7003.06; Montgomery County; Maryland","3993","486","207","175","793","248","2058","379","935","456","2485","460","71","75","568","230","1204","254","642","414","334","165","43","73","61","68","113","90","117","99","94","72","0","19","0","19","94","72","0","19","0","19","0","19","0","19","0","19","0","19","73","68","0","19","39","55","16","27","18","30","1007","318","93","118","125","76","631","285","158","94",
"1400000US24031700308","Census Tract 7003.08; Montgomery County; Maryland","3966","591","132","205","1004","325","1670","432","1160","555","2286","430","132","205","405","196","831","304","918","436","326","222","0","19","121","151","181","162","24","41","236","152","0","19","92","72","144","144","0","19","86","134","0","19","0","19","0","19","86","134","79","116","0","19","73","111","0","19","6","20","953","236","0","19","313","140","514","199","126","88",
"1400000US24031700309","Census Tract 7003.09; Montgomery County; Maryland","3293","447","295","272","1160","201","1195","342","643","407","2228","390","190","235","732","226","802","233","504","390","124","95","0","19","57","57","67","76","0","19","142","136","43","74","79","108","20","38","0","19","40","49","21","37","19","31","0","19","0","19","127","100","41","69","21","32","65","71","0","19","632","298","0","19","252","148","241","188","139","213",
"1400000US24031700310","Census Tract 7003.10; Montgomery County; Maryland","3929","537","164","139","1397","345","1542","483","826","406","2573","497","18","28","832","275","1124","398","599","313","264","188","0","19","127","156","28","35","109","100","244","118","75","70","59","58","49","62","61","62","0","19","0","19","0","19","0","19","0","19","21","32","0","19","21","32","0","19","0","19","827","331","71","114","358","242","341","171","57","82",
