"GEO_ID","NAME","B08203_001E","B08203_001M","B08203_002E","B08203_002M","B08203_003E","B08203_003M","B08203_004E","B08203_004M","B08203_005E","B08203_005M","B08203_006E","B08203_006M","B08203_007E","B08203_007M","B08203_008E","B08203_008M","B08203_009E","B08203_009M","B08203_010E","B08203_010M","B08203_011E","B08203_011M","B08203_012E","B08203_012M","B08203_013E","B08203_013M","B08203_014E","B08203_014M","B08203_015E","B08203_015M","B08203_016E","B08203_016M","B08203_017E","B08203_017M","B08203_018E","B08203_018M","B08203_019E","B08203_019M","B08203_020E","B08203_020M","B08203_021E","B08203_021M","B08203_022E","B08203_022M","B08203_023E","B08203_023M","B08203_024E","B08203_024M","B08203_025E","B08203_025M","B08203_026E","B08203_026M","B08203_027E","B08203_027M","B08203_028E","B08203_028M","B08203_029E","B08203_029M","B08203_030E","B08203_030M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!No workers:","Margin of Error!!Total:!!No workers:","Estimate!!Total:!!No workers:!!No vehicle available","Margin of Error!!Total:!!No workers:!!No vehicle available","Estimate!!Total:!!No workers:!!1 vehicle available","Margin of Error!!Total:!!No workers:!!1 vehicle available","Estimate!!Total:!!No workers:!!2 vehicles available","Margin of Error!!Total:!!No workers:!!2 vehicles available","Estimate!!Total:!!No workers:!!3 vehicles available","Margin of Error!!Total:!!No workers:!!3 vehicles available","Estimate!!Total:!!No workers:!!4 or more vehicles available","Margin of Error!!Total:!!No workers:!!4 or more vehicles available","Estimate!!Total:!!1 worker:","Margin of Error!!Total:!!1 worker:","Estimate!!Total:!!1 worker:!!No vehicle available","Margin of Error!!Total:!!1 worker:!!No vehicle available","Estimate!!Total:!!1 worker:!!1 vehicle available","Margin of Error!!Total:!!1 worker:!!1 vehicle available","Estimate!!Total:!!1 worker:!!2 vehicles available","Margin of Error!!Total:!!1 worker:!!2 vehicles available","Estimate!!Total:!!1 worker:!!3 vehicles available","Margin of Error!!Total:!!1 worker:!!3 vehicles available","Estimate!!Total:!!1 worker:!!4 or more vehicles available","Margin of Error!!Total:!!1 worker:!!4 or more vehicles available","Estimate!!Total:!!2 workers:","Margin of Error!!Total:!!2 workers:","Estimate!!Total:!!2 workers:!!No vehicle available","Margin of Error!!Total:!!2 workers:!!No vehicle available","Estimate!!Total:!!2 workers:!!1 vehicle available","Margin of Error!!Total:!!2 workers:!!1 vehicle available","Estimate!!Total:!!2 workers:!!2 vehicles available","Margin of Error!!Total:!!2 workers:!!2 vehicles available","Estimate!!Total:!!2 workers:!!3 vehicles available","Margin of Error!!Total:!!2 workers:!!3 vehicles available","Estimate!!Total:!!2 workers:!!4 or more vehicles available","Margin of Error!!Total:!!2 workers:!!4 or more vehicles available","Estimate!!Total:!!3 or more workers:","Margin of Error!!Total:!!3 or more workers:","Estimate!!Total:!!3 or more workers:!!No vehicle available","Margin of Error!!Total:!!3 or more workers:!!No vehicle available","Estimate!!Total:!!3 or more workers:!!1 vehicle available","Margin of Error!!Total:!!3 or more workers:!!1 vehicle available","Estimate!!Total:!!3 or more workers:!!2 vehicles available","Margin of Error!!Total:!!3 or more workers:!!2 vehicles available","Estimate!!Total:!!3 or more workers:!!3 vehicles available","Margin of Error!!Total:!!3 or more workers:!!3 vehicles available","Estimate!!Total:!!3 or more workers:!!4 or more vehicles available","Margin of Error!!Total:!!3 or more workers:!!4 or more vehicles available",
"1400000US24031700101","Census Tract 7001.01; Montgomery County; Maryland","1579","163","7","10","215","86","662","159","424","96","271","109","402","154","7","10","92","54","208","142","66","39","29","24","428","116","0","14","85","63","145","58","121","72","77","77","645","102","0","14","38","40","300","103","220","77","87","49","104","33","0","14","0","14","9","13","17","17","78","25",
"1400000US24031700103","Census Tract 7001.03; Montgomery County; Maryland","1868","224","52","59","197","71","885","221","470","100","264","90","316","128","36","58","34","25","176","113","54","37","16","16","573","126","9","15","86","51","232","80","157","67","89","59","601","117","7","10","42","33","327","103","130","68","95","47","378","175","0","19","35","53","150","159","129","44","64","43",
"1400000US24031700104","Census Tract 7001.04; Montgomery County; Maryland","1677","155","56","44","491","145","731","132","301","139","98","60","338","95","2","4","203","91","103","49","0","14","30","42","729","165","38","35","278","112","260","97","143","128","10","16","447","125","16","24","5","11","344","109","82","49","0","14","163","76","0","14","5","8","24","31","76","51","58","44",
"1400000US24031700105","Census Tract 7001.05; Montgomery County; Maryland","2084","218","97","105","305","127","1292","264","331","147","59","51","427","149","86","102","150","107","163","93","12","20","16","27","537","198","0","19","133","85","403","179","1","2","0","19","946","232","11","19","22","29","665","239","224","133","24","28","174","113","0","19","0","19","61","64","94","83","19","33",
"1400000US24031700204","Census Tract 7002.04; Montgomery County; Maryland","907","168","8","12","236","179","329","105","135","49","199","76","232","97","8","12","71","39","108","85","18","16","27","22","253","181","0","14","151","173","83","45","12","14","7","10","340","110","0","14","7","10","138","57","84","41","111","77","82","38","0","14","7","10","0","14","21","16","54","33",
"1400000US24031700206","Census Tract 7002.06; Montgomery County; Maryland","1917","221","64","46","226","79","905","158","495","235","227","78","288","75","11","17","65","36","177","68","25","26","10","15","550","130","46","38","140","62","257","120","54","34","53","32","676","108","7","12","21","25","440","112","160","88","48","48","403","216","0","19","0","19","31","40","256","219","116","62",
"1400000US24031700207","Census Tract 7002.07; Montgomery County; Maryland","1861","153","33","33","516","149","726","154","345","120","241","112","217","77","14","23","85","48","75","38","31","33","12","18","640","141","19","22","336","123","197","90","54","43","34","44","757","169","0","19","74","59","364","120","169","90","150","109","247","103","0","19","21","27","90","66","91","67","45","35",
"1400000US24031700208","Census Tract 7002.08; Montgomery County; Maryland","901","94","19","17","271","98","288","76","211","69","112","53","147","72","6","9","98","73","43","26","0","14","0","14","370","98","0","14","162","75","108","48","95","57","5","9","312","72","6","9","5","7","131","54","105","47","65","49","72","33","7","11","6","8","6","9","11","11","42","24",
"1400000US24031700209","Census Tract 7002.09; Montgomery County; Maryland","1620","246","0","14","198","104","742","180","390","167","290","163","180","74","0","14","55","52","74","43","22","20","29","34","526","149","0","14","98","77","266","132","129","61","33","28","765","224","0","14","45","59","402","119","183","146","135","137","149","62","0","14","0","14","0","14","56","43","93","53",
"1400000US24031700210","Census Tract 7002.10; Montgomery County; Maryland","2774","207","142","101","601","155","1263","242","708","192","60","64","173","88","0","19","110","66","55","45","8","14","0","19","955","193","122","97","451","154","331","137","51","58","0","19","1543","257","20","34","40","43","857","207","593","186","33","42","103","76","0","19","0","19","20","32","56","60","27","46",
"1400000US24031700306","Census Tract 7003.06; Montgomery County; Maryland","2375","194","121","123","633","156","1271","218","263","128","87","71","181","83","0","19","122","82","30","33","0","19","29","43","839","203","70","112","324","125","432","121","13","21","0","19","1093","183","37","42","115","74","809","189","89","67","43","59","262","121","14","23","72","62","0","19","161","108","15","25",
"1400000US24031700308","Census Tract 7003.08; Montgomery County; Maryland","2555","220","179","116","913","199","1001","216","170","89","292","180","363","126","137","101","119","79","59","48","9","15","39","61","862","200","0","19","599","177","241","119","22","46","0","19","1071","273","0","19","195","161","701","215","91","81","84","73","259","186","42","65","0","19","0","19","48","43","169","169",
"1400000US24031700309","Census Tract 7003.09; Montgomery County; Maryland","2573","228","231","146","1376","201","705","233","131","124","130","99","421","150","87","69","269","119","32","38","16","26","17","30","1371","248","39","47","1068","195","246","169","18","30","0","19","654","184","89","115","39","37","385","124","78","104","63","97","127","73","16","27","0","19","42","51","19","31","50","54",
"1400000US24031700310","Census Tract 7003.10; Montgomery County; Maryland","2743","209","153","125","1333","246","949","276","259","141","49","47","302","173","0","19","228","141","74","93","0","19","0","19","1290","231","153","125","849","229","270","141","0","19","18","28","948","262","0","19","243","132","576","238","129","96","0","19","203","126","0","19","13","25","29","41","130","106","31","40",
